CityName,CityLink,RestaurantName,Cuisines,Restaurant links
hyderabad,https://www.swiggy.com/hyderabad/top-rated-collection,shere punjab veg,North Indian,/restaurants/shere-punjab-veg-central-abohar-abohar-156588
hyderabad,https://www.swiggy.com/hyderabad/top-rated-collection,Kurda Ram Satyanarayan,North Indian,/restaurants/kurda-ram-satyanarayan-central-abohar-abohar-156596
hyderabad,https://www.swiggy.com/hyderabad/top-rated-collection,Domino's Pizza,Pizzas,/restaurants/dominos-pizza-central-abohar-abohar-171675
hyderabad,https://www.swiggy.com/hyderabad/top-rated-collection,Bihari da vaishno dhaba,North Indian,/restaurants/bihari-da-vaishno-dhaba-central-abohar-abohar-161405
hyderabad,https://www.swiggy.com/hyderabad/top-rated-collection,Swastik Dhaba,North Indian,/restaurants/swastik-dhaba-central-abohar-abohar-338749
hyderabad,https://www.swiggy.com/hyderabad/top-rated-collection,theka coffee desi,Beverages,/restaurants/theka-coffee-desi-central-abohar-abohar-158203
hyderabad,https://www.swiggy.com/hyderabad/top-rated-collection,Burger Bites,Fast Food,/restaurants/burger-bites-central-abohar-abohar-261920
hyderabad,https://www.swiggy.com/hyderabad/top-rated-collection,Sam Uncle,Continental,/restaurants/sam-uncle-central-abohar-abohar-158204
hyderabad,https://www.swiggy.com/hyderabad/top-rated-collection,Kashyap Fast Food And Bakery,North Indian,/restaurants/kashyap-fast-food-and-bakery-central-abohar-abohar-343120
hyderabad,https://www.swiggy.com/hyderabad/top-rated-collection,Real Fast Food,Fast Food,/restaurants/real-fast-food-central-abohar-abohar-211661
hyderabad,https://www.swiggy.com/hyderabad/top-rated-collection,Maruti Plaza,Fast Food,/restaurants/maruti-plaza-central-abohar-abohar-156592
hyderabad,https://www.swiggy.com/hyderabad/top-rated-collection,Punjab Sweet House,Desserts,/restaurants/punjab-sweet-house-central-abohar-abohar-156600
hyderabad,https://www.swiggy.com/hyderabad/top-rated-collection,VADILAL ICE CREAM,Ice Cream,/restaurants/vadilal-ice-cream-central-abohar-abohar-333079
hyderabad,https://www.swiggy.com/hyderabad/top-rated-collection,Shri Balaji Vaishno Dhaba,North Indian,/restaurants/shri-balaji-vaishno-dhaba-central-abohar-abohar-244866
hyderabad,https://www.swiggy.com/hyderabad/top-rated-collection,Bagri Foods,North Indian,/restaurants/bagri-foods-central-abohar-abohar-156599
chennai,https://www.swiggy.com/chennai/top-rated-collection,Rasoi,Fast Food,/restaurants/rasoi-mahirabpura-achalpur-223569
chennai,https://www.swiggy.com/chennai/top-rated-collection,Dilli Darbar,Fast Food,/restaurants/dilli-darbar-jaistambh-square-mahirabpura-achalpur-162350
chennai,https://www.swiggy.com/chennai/top-rated-collection,Flavours of North Indian,North Indian,/restaurants/flavours-of-north-indian-paratwada-mahirabpura-achalpur-277092
chennai,https://www.swiggy.com/chennai/top-rated-collection,Sanjay Bhojnalya,Maharashtrian,
